event_type,timestamp,symbol,raw_symbol,timeframe,close,price_return_pct,oi_change_pct,volume_zscore,volume_ratio,funding_classification,early_bullish_score,blowoff_risk_score,squeeze_setup_score,whale_accum_score
OI_SURGE,2026-06-30 20:00:00+00:00,BNB,BYBIT:BNBUSDT.P,4h,546.25,-0.0028477026706338338,0.017396801491296854,-1.3830930685917844,0.08745937507791805,NEUTRAL,48.9,28.2,19.9,0.0
OI_SURGE,2026-06-30 20:00:00+00:00,BTC,BYBIT:BTCUSDT.P,4h,58703.5,-0.0015307814639373696,0.00015876078208032496,-1.0824286215042294,0.09473303318331444,NEUTRAL,20.0,0.0,12.2,0.0
OI_SURGE,2026-06-30 20:00:00+00:00,DOT,BYBIT:DOTUSDT.P,4h,0.8201,-0.004007772649987862,0.01614211226850415,-1.4534825684564623,0.10187860818925087,EXTREME,30.0,8.4,18.8,0.0
OI_SURGE,2026-06-30 20:00:00+00:00,LINK,BINANCE:LINKUSD.P,4h,7.177,-0.004024424091035317,-0.0026861306861718504,-1.3217073554202265,0.046589656329386955,HOT,12.0,12.0,47.4,0.0
OI_SURGE,2026-06-30 20:00:00+00:00,NEAR,BINANCE:NEARUSD.P,4h,1.789,-0.0016741071428572063,-0.017329658951007354,-1.6912292694692541,0.021134214210113012,NEUTRAL,0.0,0.0,50.0,0.0
OI_SURGE,2026-06-30 20:00:00+00:00,SOL,BINANCE:SOLUSD.P,4h,73.47,-0.0021730272986554278,-0.012655669379785128,-1.2108812077857563,0.14738110591849896,NEUTRAL,12.0,15.1,52.4,46.6
OI_SURGE,2026-06-30 20:00:00+00:00,TIA,BYBIT:TIAUSDT.P,4h,0.3552,-0.009205020920502016,0.01684206104431696,-1.3291768642261275,0.20430245959960414,NEGATIVE,29.6,4.2,44.7,0.0
OI_SURGE,2026-06-30 20:00:00+00:00,XRP,BYBIT:XRPUSDT.P,4h,1.0409,-0.0035420256557534557,-0.0019861392816548085,-1.4181534689851554,0.06134811020753656,NEUTRAL,0.0,0.0,12.9,0.0
SQUEEZE_SETUP,2026-06-30 20:00:00+00:00,HBAR,BYBIT:HBARUSDT.P,4h,0.0691,-0.007469118069520331,0.06963809583224911,-1.3716002270359267,0.12465757320139513,NEGATIVE,73.2,23.3,55.3,0.0
WHALE_ACCUM,2026-06-30 20:00:00+00:00,BCH,BINANCE:BCHUSD.P,4h,199.1,-0.00430086017203446,-0.00020627335951173276,-1.064954554707018,0.03872781003947178,NEUTRAL,20.0,0.0,13.9,74.4
WHALE_ACCUM,2026-06-30 20:00:00+00:00,HYPE,BYBIT:HYPEUSDT.P,4h,65.088,-0.00610798924993905,0.0070204064310943615,-1.6445435697667643,0.08647372853650082,NEUTRAL,0.0,1.9,10.1,100.0
ENTRY,2026-06-30 16:00:00+00:00,ARB,BINANCE:ARBUSDT.P,4h,0.07598,0.021785906401291077,0.008734940160442184,0.20844487410653598,1.2586346624668965,NEUTRAL,55.0,15.6,11.5,0.0
ENTRY,2026-06-30 16:00:00+00:00,DOGE,BYBIT:DOGEUSDT.P,4h,0.07225,0.02221279003961496,-0.0351198150549763,0.23802545072707146,1.727465123567964,NEGATIVE,54.0,15.2,20.0,0.0
ENTRY,2026-06-30 16:00:00+00:00,XRP,BYBIT:XRPUSDT.P,4h,1.0446,0.01074020319303326,0.044982589146335794,-0.41576422083451686,0.9151650896601929,NEUTRAL,64.5,19.5,9.6,76.8
OI_SURGE,2026-06-30 16:00:00+00:00,BNB,BYBIT:BNBUSDT.P,4h,547.81,0.004750375995010936,0.02353649753064868,-0.25455848052989116,1.0544305918816004,NEUTRAL,76.2,40.1,9.7,0.0
OI_SURGE,2026-06-30 16:00:00+00:00,BTC,BYBIT:BTCUSDT.P,4h,58793.5,0.0074487480894054325,0.05499226693105164,-0.2578835270923892,1.1445149339042118,NEUTRAL,75.4,24.3,10.6,0.0
OI_SURGE,2026-06-30 16:00:00+00:00,DOT,BYBIT:DOTUSDT.P,4h,0.8234,0.012169637369391584,0.0028210542750357614,-0.031152664191951975,1.1685618378844929,EXTREME,35.7,6.9,11.1,0.0
OI_SURGE,2026-06-30 16:00:00+00:00,ETH,BYBIT:ETHUSDT.P,4h,1579.9,0.009824036611634224,-0.005453373712174581,-0.6906527263710427,0.6250999154016618,NEUTRAL,32.6,5.5,13.4,0.0
OI_SURGE,2026-06-30 16:00:00+00:00,LINK,BINANCE:LINKUSD.P,4h,7.206,0.007550335570469802,0.011799210495278878,-0.44106068266836723,0.8662864081547876,HOT,34.2,10.2,47.8,40.0
OI_SURGE,2026-06-30 16:00:00+00:00,NEAR,BINANCE:NEARUSD.P,4h,1.792,0.0050476724621424385,-0.01923138433981575,-0.8156251906073159,0.6206767045648537,NEUTRAL,0.0,2.3,50.1,40.0
OI_SURGE,2026-06-30 16:00:00+00:00,OP,BYBIT:OPUSDT.P,4h,0.09682,0.020554442921893123,0.013608572203992475,-0.482612971809757,0.8131955034801531,NEGATIVE,52.7,14.3,11.7,0.0
OI_SURGE,2026-06-30 16:00:00+00:00,SOL,BINANCE:SOLUSD.P,4h,73.63,0.008630136986301329,-0.01807760248860335,-0.1803961888649449,1.215703482006603,NEUTRAL,27.7,10.6,13.8,44.2
SQUEEZE_SETUP,2026-06-30 16:00:00+00:00,HBAR,BYBIT:HBARUSDT.P,4h,0.06962,-0.004148190530682272,0.1423611650217418,2.0988722426682433,2.9796911266388246,NEGATIVE,100.0,50.4,56.9,0.0
WHALE_ACCUM,2026-06-30 16:00:00+00:00,BCH,BINANCE:BCHUSD.P,4h,199.96,0.00030015007503747526,-0.0024785837527230292,-0.1327899864358842,1.3134802209664105,NEUTRAL,20.5,0.2,26.9,59.6
WHALE_ACCUM,2026-06-30 16:00:00+00:00,HYPE,BYBIT:HYPEUSDT.P,4h,65.488,0.007306231061479984,0.004083620936771615,-0.8649519545081423,0.6112596892123667,NEUTRAL,0.0,4.0,6.0,100.0
ENTRY,2026-06-30 12:00:00+00:00,ATOM,BINANCE:ATOMUSDT.P,4h,1.527,0.011928429423459175,0.007706175698264817,1.908531425926167,2.494252869417972,NEGATIVE,64.2,22.0,18.2,0.0
OI_SURGE,2026-06-30 12:00:00+00:00,BTC,BYBIT:BTCUSDT.P,4h,58358.8,-0.01354460185158568,0.031054306953842037,2.5261323258180632,4.646697663978415,NEGATIVE,58.7,20.4,10.0,0.0
OI_SURGE,2026-06-30 12:00:00+00:00,DOGE,BYBIT:DOGEUSDT.P,4h,0.07068,-0.009945370500069828,0.032113976316968884,2.482414482263365,4.489491543009277,NEGATIVE,58.1,20.1,18.4,0.0
OI_SURGE,2026-06-30 12:00:00+00:00,DOT,BYBIT:DOTUSDT.P,4h,0.8135,0.0030826140567199456,0.07833243771403975,1.8800079510492456,2.626816150207502,NEUTRAL,100.0,37.6,15.7,0.0
OI_SURGE,2026-06-30 12:00:00+00:00,LINK,BINANCE:LINKUSD.P,4h,7.152,-0.013517241379310319,0.37402113350714217,0.4886905260303306,1.7630941469163284,HOT,94.9,56.0,47.0,0.0
OI_SURGE,2026-06-30 12:00:00+00:00,OP,BYBIT:OPUSDT.P,4h,0.09487,-0.013415141430948463,0.010456619825807367,0.4092857786244096,1.4256445836240002,NEUTRAL,34.0,6.7,31.0,0.0
OI_SURGE,2026-06-30 12:00:00+00:00,RENDER,BYBIT:RENDERUSDT.P,4h,1.509,-0.0012575286253226903,0.01637440660921463,-0.18989636201767865,1.0381018145366903,NEUTRAL,33.6,6.0,15.6,0.0
OI_SURGE,2026-06-30 12:00:00+00:00,SOL,BINANCE:SOLUSD.P,4h,73.0,-0.0036850006824075132,0.3455719171279368,0.6321886217339228,2.058838249103184,NEUTRAL,100.0,46.9,53.7,51.1
OI_SURGE,2026-06-30 12:00:00+00:00,TIA,BYBIT:TIAUSDT.P,4h,0.3642,-0.0030112236517930713,0.05893486122071878,0.35575057641860874,1.4203148651416024,NEGATIVE,58.2,17.4,38.1,0.0
OI_SURGE,2026-06-30 12:00:00+00:00,XRP,BYBIT:XRPUSDT.P,4h,1.0335,-0.004814636494944513,0.02987921554753581,1.3571507977504405,2.4714034215508125,NEGATIVE,47.8,14.0,22.0,0.0
SQUEEZE_SETUP,2026-06-30 12:00:00+00:00,NEAR,BINANCE:NEARUSD.P,4h,1.783,-0.03203040173724225,0.656974394647057,0.3409521541446363,1.4076693329671461,NEUTRAL,72.0,43.4,56.5,40.0
WHALE_ACCUM,2026-06-30 12:00:00+00:00,BCH,BINANCE:BCHUSD.P,4h,199.9,0.004926603659762829,0.17714062232651373,1.9760053043322272,4.184953718617787,NEUTRAL,100.0,56.0,12.5,55.8
WHALE_ACCUM,2026-06-30 12:00:00+00:00,HYPE,BYBIT:HYPEUSDT.P,4h,65.013,-0.010305982645760325,-0.0019270445670989123,0.011847291169286431,1.233820052156784,NEUTRAL,0.0,0.4,5.1,100.0
OI_SURGE,2026-06-30 08:00:00+00:00,DOGE,BYBIT:DOGEUSDT.P,4h,0.07139,-0.013405196241017103,0.033927297975776316,0.47355521134889983,1.9710564617148554,NEGATIVE,47.6,12.7,8.8,0.0
VOLUME_SURGE,2026-06-30 08:00:00+00:00,S,BINANCE:SUSDT.P,4h,0.02267,-0.014347826086956506,-0.013077373884745724,-0.2083772764992096,1.7443647695122464,NEUTRAL,20.0,0.0,2.8,40.0
VOLUME_SURGE,2026-06-30 08:00:00+00:00,NEO,BINANCE:NEOUSDT.P,4h,1.896,-0.011985409067222563,-0.005601634612234951,1.2239641082905728,2.0759058519164917,NEGATIVE,27.3,4.9,23.6,0.0
WHALE_ACCUM,2026-06-30 08:00:00+00:00,HYPE,BYBIT:HYPEUSDT.P,4h,65.69,0.0003502520291773781,0.0011238447674604135,-0.9223424962339416,0.5788100263645982,NEUTRAL,0.0,1.6,7.5,100.0
WHALE_ACCUM,2026-06-30 08:00:00+00:00,TIA,BYBIT:TIAUSDT.P,4h,0.3653,-0.0681122448979592,-0.02837342144156607,2.027279993069366,2.6008295027091783,NEGATIVE,32.2,8.6,31.7,100.0
VOLUME_SURGE,2026-06-30 04:00:00+00:00,S,BINANCE:SUSDT.P,4h,0.023,-0.0013026487190620495,-0.05238992312559965,-0.2002893724373149,1.8519250201325408,NEGATIVE,20.6,4.3,9.9,40.0
WHALE_ACCUM,2026-06-30 04:00:00+00:00,TIA,BYBIT:TIAUSDT.P,4h,0.392,-0.002798270160264571,0.012335679122713383,-0.21811635991246225,0.9941728946672895,EXTREME,25.8,14.3,7.9,100.0
ENTRY,2026-06-30 00:00:00+00:00,XLM,BINANCE:XLMUSDT.P,1d,0.1831,0.04688393367638666,-0.01546763566653242,0.15379381189646468,2.8753630594341413,NEGATIVE,40.5,6.6,15.6,2.6
OI_SURGE,2026-06-30 00:00:00+00:00,ADA,BYBIT:ADAUSDT.P,1d,0.1441,-0.010981468771448122,0.0657383056249341,-0.4602972239908183,0.8597155652379543,EXTREME,37.3,11.6,38.9,0.0
OI_SURGE,2026-06-30 00:00:00+00:00,APT,BYBIT:APTUSDT.P,1d,0.5695,-0.018780151619572694,0.033168267286381115,0.029900262436075433,1.1221479660368605,EXTREME,37.1,7.5,1.2,0.0
OI_SURGE,2026-06-30 00:00:00+00:00,BCH,BINANCE:BCHUSD.P,1d,199.1,-0.008466135458167434,0.16601338347723216,-0.39552246775188055,0.8219629747693654,NEUTRAL,56.1,19.8,7.9,40.0
OI_SURGE,2026-06-30 00:00:00+00:00,DOT,BYBIT:DOTUSDT.P,1d,0.8201,-0.005818887137834738,0.042514172375203385,-0.4427308005438906,0.9118653189444854,EXTREME,33.6,9.9,9.5,0.0
OI_SURGE,2026-06-30 00:00:00+00:00,S,BINANCE:SUSDT.P,1d,0.02276,-0.0702614379084967,-0.06670771555311616,0.5890539707758065,4.113249873353795,NEGATIVE,23.5,2.4,38.6,0.0
OI_SURGE,2026-06-30 00:00:00+00:00,HYPE,BYBIT:HYPEUSDT.P,4h,65.736,-0.017399103139013494,0.03473417111845567,-0.7864549194891978,0.6678582079354355,EXTREME,9.7,10.3,12.1,63.5
OI_SURGE,2026-06-30 00:00:00+00:00,HYPE,BYBIT:HYPEUSDT.P,1d,65.064,-0.027443946188341006,0.11762624977109293,-0.7656145890406844,0.6902955049968965,EXTREME,66.2,45.2,0.0,0.0
OI_SURGE,2026-06-30 00:00:00+00:00,LINK,BINANCE:LINKUSD.P,1d,7.177,-0.026055095671054462,0.37531292032971586,-1.406767389567288,0.3549661384706424,NEUTRAL,92.0,54.0,34.1,0.0
OI_SURGE,2026-06-30 00:00:00+00:00,MANA,OKX:MANAUSDT.P,1d,0.06243,-0.02116650987770463,-0.03622244354166282,-0.4109244650653369,0.8502108759437581,EXTREME,20.0,0.0,44.7,0.0
OI_SURGE,2026-06-30 00:00:00+00:00,NEAR,BINANCE:NEARUSD.P,1d,1.789,-0.037654653039268404,0.6290862151695986,-0.6781780672854831,0.5221184583784463,NEUTRAL,100.0,58.3,33.3,0.0
OI_SURGE,2026-06-30 00:00:00+00:00,SOL,BINANCE:SOLUSD.P,1d,73.47,-0.020922174840085406,0.29938418949440115,-1.1621647310106016,0.5367052447503217,NEUTRAL,62.0,54.0,11.0,40.0
VOLUME_SURGE,2026-06-30 00:00:00+00:00,S,BINANCE:SUSDT.P,4h,0.02303,-0.05923202614379086,0.002499842194066293,0.5890689762259282,6.758577245322113,NEGATIVE,23.5,6.4,0.0,40.0
WHALE_ACCUM,2026-06-30 00:00:00+00:00,TIA,BYBIT:TIAUSDT.P,4h,0.3931,0.008983572895277181,-0.005311632815853118,-0.38570465261163733,0.8695622299913475,EXTREME,25.0,10.2,8.2,100.0
WHALE_ACCUM,2026-06-30 00:00:00+00:00,TIA,BYBIT:TIAUSDT.P,1d,0.3552,-0.08829568788501019,0.14186771773065954,-0.11245799919271995,1.157858515734404,EXTREME,42.3,22.9,16.7,100.0
OI_SURGE,2026-06-29 20:00:00+00:00,ADA,BYBIT:ADAUSDT.P,4h,0.1457,-0.01287262872628736,0.005729623524740379,-0.7651699245546209,0.5578986806744135,NEUTRAL,22.2,0.9,13.7,24.7
VOLUME_SURGE,2026-06-29 20:00:00+00:00,S,BINANCE:SUSDT.P,4h,0.02448,-0.00890688259109318,-0.003296927152868334,-0.21326064927250793,1.853602203412894,EXTREME,0.0,4.0,0.0,40.0
WHALE_ACCUM,2026-06-29 20:00:00+00:00,BCH,BINANCE:BCHUSD.P,4h,200.8,-0.005546751188589383,0.03872023768586397,-0.8758366194903617,0.32106780652055567,NEUTRAL,100.0,42.0,13.3,63.9
WHALE_ACCUM,2026-06-29 20:00:00+00:00,HYPE,BYBIT:HYPEUSDT.P,4h,66.9,-0.000552758564022815,0.0020613152885964325,-0.7159435882338074,0.7190335887104188,EXTREME,0.0,3.9,6.7,100.0
WHALE_ACCUM,2026-06-29 20:00:00+00:00,TIA,BYBIT:TIAUSDT.P,4h,0.3896,-0.012170385395537497,0.021814012434398844,-0.4724945116568049,0.8058743469650806,EXTREME,31.1,11.8,15.7,100.0
ENTRY,2026-06-29 16:00:00+00:00,HYPE,BYBIT:HYPEUSDT.P,4h,66.937,0.031609283974971536,0.10256909314014373,0.5690929332591864,1.6253151159627415,EXTREME,100.0,47.7,6.8,50.0
ENTRY,2026-06-29 16:00:00+00:00,LTC,BYBIT:LTCUSDT.P,4h,43.37,0.02071075547187573,0.0029701797655445894,0.03458073703952249,1.3663121455878036,NEUTRAL,60.1,14.1,8.1,17.6
ENTRY,2026-06-29 16:00:00+00:00,NEAR,BINANCE:NEARUSD.P,4h,1.89,0.025501899077590817,0.030362150957200296,0.23342991872644703,1.3408341742347796,NEUTRAL,68.9,25.7,13.2,21.2
ENTRY,2026-06-29 16:00:00+00:00,ZEC,BYBIT:ZECUSDT.P,4h,407.82,0.047491844964426155,-0.058878206707326575,0.2334352837900583,1.3332885730117232,EXTREME,54.1,15.3,11.7,0.0
OI_SURGE,2026-06-29 16:00:00+00:00,ADA,BYBIT:ADAUSDT.P,4h,0.1476,0.015130674002751032,0.013707061798745146,-0.5388994890164357,0.7842723166132405,NEUTRAL,42.3,9.8,20.4,26.2
PRE_ENTRY,2026-06-29 16:00:00+00:00,ETH,BYBIT:ETHUSDT.P,4h,1624.91,0.028743091211831606,0.009252140633144945,0.8755949915994335,2.180602444667469,NEUTRAL,78.8,23.4,10.9,34.2
VOLUME_SURGE,2026-06-29 16:00:00+00:00,S,BINANCE:SUSDT.P,4h,0.0247,-0.04300658659434331,-0.008298817983644624,0.3285904817352401,5.486990266764068,NEGATIVE,0.0,1.3,20.4,40.0
VOLUME_SURGE,2026-06-29 16:00:00+00:00,SOL,BINANCE:SOLUSD.P,4h,75.84,0.028617930286179316,0.008111621194524021,1.798094475669397,3.234047948480996,NEUTRAL,78.3,34.5,5.9,30.2
